COUNTRY;CONTINENT;CONNECTIONS
ALASKA;NORTH AMERICA;KAMCHATKA*NORTH WEST TERRITORY*ALBERTA
NORTH WEST TERRITORY;NORTH AMERICA;ALASKA*GREENLAND*ALBERTA*ONTARIO
GREENLAND;NORTH AMERICA;NORTH WEST TERRITORY*ONTARIO*QUEBEC*ICELAND
ALBERTA;NORTH AMERICA;ALASKA*NORTH WEST TERRITORY*ONTARIO*WESTERN UNITED STATES
ONTARIO;NORTH AMERICA;ALBERTA*NORTH WEST TERRITORY*GREENLAND*QUEBEC*EASTERN UNITED STATES*WESTERN UNITED STATES
QUEBEC;NORTH AMERICA;ONTARIO*GREENLAND*EASTERN UNITED STATES
WESTERN UNITED STATES;NORTH AMERICA;ALASKA*ONTARIO*EASTERN UNITED STATES*CENTRAL AMERICA
EASTERN UNITED STATES;NORTH AMERICA;WESTERN UNITED STATES*ONTARIO*QUEBEC*CENTRAL AMERICA
CENTRAL AMERICA;NORTH AMERICA;WESTERN UNITED STATES*EASTERN UNITED STATES*VENEZUELA
VENEZUELA;SOUTH AMERICA;CENTRAL AMERICA*BRAZIL*PERU
PERU;SOUTH AMERICA;VENEZUELA*BRAZIL*ARGENTINA
BRAZIL;SOUTH AMERICA;VENEZUELA*NORTH AFRICA*ARGENTINA*PERU
ARGENTINA;SOUTH AMERICA;PERU*BRAZIL
ICELAND;EUROPE;GREENLAND*SCANDINAVIA*GREAT BRITAIN
SCANDINAVIA;EUROPE;ICELAND*UKRAINE
GREAT BRITAIN;EUROPE;ICELAND*SCANDINAVIA*WESTERN EUROPE
WESTERN EUROPE;EUROPE;GREAT BRITAIN*NORTHERN EUROPE*SOUTHERN EUROPE*NORTH AFRICA
NORTHERN EUROPE;EUROPE;GREAT BRITAIN*SCANDINAVIA*UKRAINE*SOUTHERN EUROPE*WESTERN EUROPE
SOUTHERN EUROPE;EUROPE;WESTERN EUROPE*NORTHERN EUROPE*UKRAINE*MIDDLE EAST*EGYPT*NORTH AFRICA
UKRAINE;EUROPE;NORTHERN EUROPE*SCANDINAVIA*URAL*AFGHANISTAN*MIDDLE EAST*SOUTHERN EUROPE
NORTH AFRICA;AFRICA;BRAZIL*WESTERN EUROPE*SOUTHERN EUROPE*EGYPT*EAST AFRICA*CONGO
EGYPT;AFRICA;NORTH AFRICA*SOUTHERN EUROPE*MIDDLE EAST*EAST AFRICA
EAST AFRICA;AFRICA;NORTH AFRICA*EGYPT*MIDDLE EAST*MADAGASCAR*SOUTH AFRICA*CONGO
CONGO;AFRICA;NORTH AFRICA*EAST AFRICA*SOUTH AFRICA
SOUTH AFRICA;AFRICA;CONGO*EAST AFRICA*MADAGASCAR
MADAGASCAR;AFRICA;EAST AFRICA*SOUTH AFRICA
MIDDLE EAST;ASIA;SOUTHERN EUROPE*UKRAINE*AFGHANISTAN*INDIA*EAST AFRICA*EGYPT
AFGHANISTAN;ASIA;UKRAINE*URAL*CHINA*INDIA*MIDDLE EAST
URAL;ASIA;UKRAINE*SIBERIA*CHINA*AFGHANISTAN
SIBERIA;ASIA;URAL*YAKUTSK*IRKUTSK*MONGOLIA*CHINA
CHINA;ASIA;AFGHANISTAN*URAL*SIBERIA*MONGOLIA*SIAM*INDIA
INDIA;ASIA;MIDDLE EAST*AFGHANISTAN*CHINA*SIAM
YAKUTSK;ASIA;SIBERIA*KAMCHATKA*IRKUTSK
KAMCHATKA;ASIA;YAKUTSK*ALASKA*JAPAN*MONGOLIA*IRKUTSK
IRKUTSK;ASIA;SIBERIA*YAKUTSK*KAMCHATKA*MONGOLIA
MONGOLIA;ASIA;SIBERIA*IRKUTSK*KAMCHATKA*JAPAN*CHINA
JAPAN;ASIA;KAMCHATKA*MONGOLIA
SIAM;ASIA;INDIA*CHINA*INDONESIA
INDONESIA;AUSTRALIA;SIAM*NEW GUINEA*WESTERN AUSTRALIA
NEW GUINEA;AUSTRALIA;INDONESIA*EASTERN AUSTRALIA*WESTERN AUSTRALIA
EASTERN AUSTRALIA;AUSTRALIA;WESTERN AUSTRALIA*NEW GUINEA
WESTERN AUSTRALIA;AUSTRALIA;INDONESIA*NEW GUINEA*EASTERN AUSTRALIA
